wd|ciic|o3d|cisp
Q85396849|281|281. Drumlohan X|DRUML
Q85396851|282||FOXCA
Q85396944|283||GAMIL
Q85396944|284||GAMIL
Q85396852|285|285. Kilbeg|KLBEG
Q85396854|286||KLGRV
Q85396854|287||KLGRV
Q85396854|288||KLGRV
Q85396854|289||KLGRV
Q85396854|290||KLGRV
Q85396911|291||KLMOL
Q85396914|292|292. Knockboy I|KNBOY
Q85396914|293|293. Knockboy II|KNBOY
Q85396914|294|294. Knockboy III|KNBOY
Q85396914|295|295. Knockboy IV|KNBOY
Q85396914|296|296. Knockboy V|KNBOY
Q85396914|297|297. Knockboy VI|KNBOY
Q85396914|289|298. Knockboy VII|KNBOY
Q85396914|299|299. Knockboy VIII|KNBOY
Q85396859|300|300. Island|OLDIS
Q85396862|301||TOOCU
Q85396997|302||BAVEL
Q85396916|303||BQUIN
Q85396978|304||CREHS
Q85396866|305||CRGHH
Q85396870|306||KNKLA
Q85396919|307||WINDG
Q85396919|308||WINDG
Q85392806|309||CRCOM
Q85392806|310||CRCOM
Q85392810|311||DRCOM
Q85392813|312||RANTA
Q85392823|313||DUNGM
Q85392816|314||STISL
Q85392831|315||TMOUN
Q85392833|316||DUNAL
Q85392826|317||AGHAS
Q106626866 |1083||
Q106626866 |1084||
Q85394024||Ardfert II|
Q106626868 ||Ballybarrack|BALBA
Q106626869 ||Bunkilla|
Q106626870 ||Church Island|CHUIS
Q85391656||Churchclara II|
Q106626871 ||Cloghabrody|
Q106626872 ||Coumlanders|
Q85390417||Drummin II|
Q85396854||Kilgrovan VI|KLGRV
Q85396854||Kilgrovan VII|KLGRV
Q106626874 ||Knockmahon I|KNMAH
Q106626874 ||Knockmahon II|KNMAH
Q106626875 ||Ratass|RATAS
Q106626866 ||Rathkenny IV|RTHKE
Q106626876 ||Scattery Island|
Q106626901 ||Shankill|SHANK
Q85391735||Tullaherin II|
Q106628032 |||NOBBE
Q106628033 |||CLMAC
Q106628035 |||CSTGR
Q106628037 |||HTOWN
Q106628040 |||THOTO
Q106628041 |||TOURP
Q106628044 |||LABAN
Q106628046 |||DNWAY
Q106628048 |||CRSER
Q106628049 |||CLHEE
Q106628051 |||GEARS
Q106628052 |||KLLAG
Q106628055 |||RATHK
Q106628056 |||KLQAN
Q106628057 |||FARAN
Q106628058 |||CHFLD
Q106628059 |||ANSCL
Q106628060 |||KLORG
Q106628061 |||RFILD
Q106628062 |||BRHKL
Q106628064 |||BALBR
Q106628067 |||LHANE
Q106628068 |||GLSHS
Q106628069 |||KEELW
Q106628070 |||BENBR
Q106628071 |||GLINS
