"stone"|"item"
"Q106675629"|"Q106681036"
"Q70892646"|"Q106680835"
"Q106675695"|"Q106680789"
"Q106675551"|"Q106680976"
"Q106675698"|"Q106681194"
"Q106675453"|"Q106681188"
"Q70885703"|"Q106680751"
"Q106675379"|"Q106680825"
"Q70892623"|"Q106680824"
"Q106674204"|"Q106680829"
"Q106674229"|"Q106680877"
"Q106675369"|"Q106681033"
"Q106675365"|"Q106680696"
"Q70892382"|"Q106680679"
"Q106675616"|"Q106680602"
"Q106675305"|"Q106680719"
"Q106675297"|"Q106680802"
"Q70892509"|"Q106680758"
"Q70892463"|"Q106680722"
"Q70892895"|"Q106680996"
"Q70899524"|"Q106680579"
"Q106675474"|"Q106680589"
"Q70893046"|"Q106681189"
"Q69385241"|"Q106680776"
"Q106675425"|"Q106680584"
"Q70885730"|"Q106680708"
"Q106675360"|"Q106680604"
"Q70893035"|"Q106681186"
"Q70892842"|"Q106680971"
"Q106675340"|"Q106680742"
"Q106675316"|"Q106680720"
"Q106675312"|"Q106681201"
"Q106675502"|"Q106680853"
"Q70892711"|"Q106680863"
"Q106675313"|"Q106680800"
"Q70892837"|"Q106680970"
"Q106675415"|"Q106681234"
"Q106675452"|"Q106681187"
"Q106675540"|"Q106680858"
"Q106675706"|"Q106680947"
"Q106675725"|"Q106681369 "
"Q106675564"|"Q106680944"
"Q70892526"|"Q106680768"
"Q106675468"|"Q106680930"
"Q106675373"|"Q106680836"
"Q106675536"|"Q106681247"
"Q106675366"|"Q106680837"
"Q70892506"|"Q106680757"
"Q106674268"|"Q106681026"
"Q106675351"|"Q106680815"
"Q70892598"|"Q106680814"
"Q70892553"|"Q106680792"
"Q70892964"|"Q106681125"
"Q70899537"|"Q106680586"
"Q106675438"|"Q106680901"
"Q70892574"|"Q106680803"
"Q106675548"|"Q106680862"
"Q106674230"|"Q106680879"
"Q106675523"|"Q106680855"
"Q106675386"|"Q106680834"
"Q70892504"|"Q106680756"
"Q85410047"|"Q106681202"
"Q106675383"|"Q106680829"
"Q70892748"|"Q106680921"
"Q106675376"|"Q106680822"
"Q106675589"|"Q106680798"
"Q106674235"|"Q106680908"
"Q106674341"|"Q106681204"
"Q70892662"|"Q106680843"
"Q106674315"|"Q106680605"
"Q70892829"|"Q106680966"
"Q106674305"|"Q106681178"
"Q106675447"|"Q106680850"
"Q106674356"|"Q106681220"
"Q106675372"|"Q106680708"
"Q106674332"|"Q106680730"
"Q106675660"|"Q106680575"
"Q70885734"|"Q106680790"
"Q70892797"|"Q106680949"
"Q70892604"|"Q106680817"
"Q106674271"|"Q106681049"
"Q106675608"|"Q106680770"
"Q106675648"|"Q106680581"
"Q106675675"|"Q106680730"
"Q70892498"|"Q106680754"
"Q70892586"|"Q106680811"
"Q70892318"|"Q106680581"
"Q70899521"|"Q106680576"
"Q70892427"|"Q106680704"
"Q70892518"|"Q106680766"
"Q106675538"|"Q106680957"
"Q106675455"|"Q106681183"
"Q70892527"|"Q106680777"
"Q106675674"|"Q106680788"
"Q70893060"|"Q106681196"
"Q70892805"|"Q106680952"
"Q106675671"|"Q106680785"
"Q70893037"|"Q106681187"
"Q106674325"|"Q106680704"
"Q70382440"|"Q106680770"
"Q106674357"|"Q106681221"
"Q70885706"|"Q106680750"
"Q106675683"|"Q106680877"
"Q106675333"|"Q106680750"
"Q106674290"|"Q106681125"
"Q106674274"|"Q106681052"
"Q106675647"|"Q106681199"
"Q70892606"|"Q106680818"
"Q106674350"|"Q106681214"
"Q70892767"|"Q106680936"
"Q70892763"|"Q106680934"
"Q70892577"|"Q106680804"
"Q106674195"|"Q106680820"
"Q106675402"|"Q106680703"
"Q106675702"|"Q106680600"
"Q70892846"|"Q106680973"
"Q106675511"|"Q106681129"
"Q106674176"|"Q106681224"
"Q106675688"|"Q106681192"
"Q106675363"|"Q106681030"
"Q70885728"|"Q106680761"
"Q106674211"|"Q106680843"
"Q106674191"|"Q106680578"
"Q70893005"|"Q106681176"
"Q70885704"|"Q106680737"
"Q70892828"|"Q106680965"
"Q70892501"|"Q106680755"
"Q106675624"|"Q106680865"
"Q106675315"|"Q106680812"
"Q106675579"|"Q106681249"
"Q70885723"|"Q106680710"
"Q70899529"|"Q106680584"
"Q70899528"|"Q106680582"
"Q106674259"|"Q106680962"
"Q106674278"|"Q106681055"
"Q70892328"|"Q106680583"
"Q70892406"|"Q106680696"
"Q106674183"|"Q106680576"
"Q106675638"|"Q106681039"
"Q70892444"|"Q106680713"
"Q106675410"|"Q106681233"
"Q70892979"|"Q106681160"
"Q106674257"|"Q106680953"
"Q106675594"|"Q106681172"
"Q106675432"|"Q106680964"
"Q70892992"|"Q106681165"
"Q106674179"|"Q106680777"
"Q106675606"|"Q106680768"
"Q106675430"|"Q106680760"
"Q106674194"|"Q106680819"
"Q70892897"|"Q106681000"
"Q70892460"|"Q106680720"
"Q70892399"|"Q106680691"
"Q106675345"|"Q106680746"
"Q106675441"|"Q106680927"
"Q70892466"|"Q106680723"
"Q106675399"|"Q106681231"
"Q106674244"|"Q106680936"
