item,label,site,geo,inscription
Q70892823,CIIC 230 (Ogham Stone Concept by RAS Macalister),Q85395549,POINT(-10.176944 51.894167),D[...]A[.C?.] AVI DALAGNI [MAQI C...?] EQQEGGNI MAQI MAQI-CARATTINN
Q70892827,CIIC 231 (Ogham Stone Concept by RAS Macalister),Q85395579,POINT(-10.365556 51.912222),LOGITTI MAQI ERPENN
Q70892828,CIIC 232 (Ogham Stone Concept by RAS Macalister),Q85395579,POINT(-10.365556 51.912222),....]ERRLONNA MAQI R[U]T[E]N[I]
Q70892829,CIIC 233 (Ogham Stone Concept by RAS Macalister),Q85395550,POINT(-10.113611 51.848056),TIDONN[A] MAQ DOMNGINN
Q70892834,CIIC 234 (Ogham Stone Concept by RAS Macalister),Q85395582,POINT(-10.029167 52.031111),MAQI R[.....
Q70892835,CIIC 235 (Ogham Stone Concept by RAS Macalister),Q85395618,POINT(-10.175833 51.913333),ANM MOLEGOMRID MACI VECUMEN
Q70892837,CIIC 236 (Ogham Stone Concept by RAS Macalister),Q85395551,POINT(-10.301944 51.843333),...]OTANI M[A]QI LOSAGNI
Q70892842,CIIC 237 (Ogham Stone Concept by RAS Macalister),Q85395551,POINT(-10.301944 51.843333),n/a
Q70892844,CIIC 238 (Ogham Stone Concept by RAS Macalister),Q85395585,POINT(-10.220833 51.923333),......]QNETN[.....
Q70892846,CIIC 239 (Ogham Stone Concept by RAS Macalister),Q85396891,POINT(-10.025278 52.013611),ANM GATTEGLAN
Q70892848,CIIC 240 (Ogham Stone Concept by RAS Macalister),Q85396810,POINT(-10.058889 51.970833),MOCURRUTI MAQI VLISACESUCMIR
Q70892851,CIIC 241 (Ogham Stone Concept by RAS Macalister),Q85396894,POINT(-9.673611 52.086111),B[AID]AGNI MAQI ADDILONA NAGUNI MUCO BAIDANI NIR***MN[I]DAGNIESSICONIDDALA AMIT BAIDAGNI
Q70892852,CIIC 242 (Ogham Stone Concept by RAS Macalister),Q85396972,POINT(-9.558333 52.077778),BRRUANANN
Q70892854,CIIC 243 (Ogham Stone Concept by RAS Macalister),Q85396812,POINT(-9.631667 52.128889),MAQI-RITTE MAQI COLABOT MAQI MOCO QERAI
Q70892857,CIIC 244 (Ogham Stone Concept by RAS Macalister),Q85396812,POINT(-9.631667 52.128889),COILLABBOTAS MAQI CORBBI MAQI MOCOI QERAI
Q70892859,CIIC 245 (Ogham Stone Concept by RAS Macalister),Q85396812,POINT(-9.631667 52.128889),VŊGOLAM
Q70892864,CIIC 246 (Ogham Stone Concept by RAS Macalister),Q85396812,POINT(-9.631667 52.128889),CORBAGNI MAQI BIVITI
Q70892869,CIIC 247 (Ogham Stone Concept by RAS Macalister),Q85396974,POINT(-9.662778 52.147778),COVTET
Q70892870,CIIC 248 (Ogham Stone Concept by RAS Macalister),Q85396897,POINT(-9.438889 52.1425),...QET[IA?]S M[A?]Q TRENIL[U?...]
Q70892873,CIIC 249 (Ogham Stone Concept by RAS Macalister),Q85396931,POINT(-9.687778 52.161944),UN[...]CC
Q70892889,CIIC 250 (Ogham Stone Concept by RAS Macalister),Q85396820,POINT(-9.771944 52.165833),CATTUVVIRR MAQI RITUVVECAS MUCOI ALLATO
Q70892894,CIIC 251 (Ogham Stone Concept by RAS Macalister),Q85396823,POINT(-9.5325 52.191667),VELITAS LUGUTTI
Q70892895,CIIC 252 (Ogham Stone Concept by RAS Macalister),Q85396933,POINT(-9.581944 52.226667),DUMELI MAQI GLASICONAS NIOTTA COBRANOR[IGAS]
Q70892897,CIIC 253 (Ogham Stone Concept by RAS Macalister),Q85396826,POINT(-9.540833 52.233611),GALEOTOS
Q70892906,CIIC 254 (Ogham Stone Concept by RAS Macalister),Q85396936,POINT(-9.540833 52.233611),MAQI RECTA
Q70892907,CIIC 255 (Ogham Stone Concept by RAS Macalister),Q85396900,POINT(-9.7575 52.124722),ANM VURUDDRANN MAQ[I] DOLIGENN CI[...]LA MAQ[Q?]I [..]BAGNI
Q70892910,CIIC 256 (Ogham Stone Concept by RAS Macalister),Q85396900,POINT(-9.7575 52.124722),ANM TEGANN MAAC DEGLANN
Q70892912,CIIC 257 (Ogham Stone Concept by RAS Macalister),Q85396834,POINT(-8.823889 52.4575),D[A]Q[U]MA MAQI RAGAVVECC
Q70892914,CIIC 258 (Ogham Stone Concept by RAS Macalister),Q85396837,POINT(-8.377222 52.381944),MAILAGNI MAQI GAMATI
Q70892917,CIIC 259 (Ogham Stone Concept by RAS Macalister),Q85396939,POINT(-8.562778 52.328611),IVAGENI MAQI LAISCEMITA
Q70892919,CIIC 260 (Ogham Stone Concept by RAS Macalister),Q85396941,POINT(-8.105278 52.275833),n/a
Q70892920,CIIC 261 (Ogham Stone Concept by RAS Macalister),Q85396903,POINT(-7.758056 52.221667),NETACUNAS MAQI LOBAC[CONA]
Q70892923,CIIC 263 (Ogham Stone Concept by RAS Macalister),Q85396905,POINT(-7.729167 51.944167),LUGUDECCAS MAQI [....MU]COI NETA-SEGAMONAS DOLATI BIGA-ISGOB[...
Q70892924,CIIC 264 (Ogham Stone Concept by RAS Macalister),Q85396905,POINT(-7.729167 51.944167),....] NACI MAQI [...
Q70892930,CIIC 265 (Ogham Stone Concept by RAS Macalister),Q85396905,POINT(-7.729167 51.944167),AMADU
Q70892932,CIIC 266 (Ogham Stone Concept by RAS Macalister),Q85396907,POINT(-7.848889 52.064444),COLLABOT MUCOI LUGA MAQI LOBACCONA
Q70892933,CIIC 267 (Ogham Stone Concept by RAS Macalister),Q85396907,POINT(-7.848889 52.064444),MEDUSI MACI LU MUCOI LUGA
Q70892935,CIIC 268 (Ogham Stone Concept by RAS Macalister),Q85396907,POINT(-7.848889 52.064444),CATTUVIR
Q70892937,CIIC 269 (Ogham Stone Concept by RAS Macalister),Q85396845,POINT(-7.755833 51.988333),MAQI MUCOI IVODACCA.
Q70892938,CIIC 270 (Ogham Stone Concept by RAS Macalister),Q85396847,POINT(-7.439167 52.133333),QRIT[....] MAQ[I LO]BACONA AVI NEAGRACOLINEA
Q70892940,CIIC 271 (Ogham Stone Concept by RAS Macalister),Q85396847,POINT(-7.439167 52.133333),NETAVROQI MAQI QIC[...
Q70892943,CIIC 272 (Ogham Stone Concept by RAS Macalister),Q85396849,POINT(-7.468056 52.163056),MANU MAGUNO GATI MOCOI MACORBO
