item,label,geo
Q85395597,Dingle Ogham Site (Ogham Site),POINT(-10.27 52.14)
Q85391654,Donaghmore (Ogham Site),POINT(-6.551111 53.375278)
Q85391710,Donard (Ogham Site),POINT(-6.617778 53.016944)
Q85390429,Dooghmakeon (Ogham Site),POINT(-9.87 53.746389)
Q85395543,Dromatouk (Ogham Site),POINT(-9.525833 51.885278)
Q85395550,Dromkeare (Ogham Site),POINT(-10.113611 51.848056)
Q85395540,Dromlusk (Ogham Site),POINT(-9.786667 51.881111)
Q85396907,Dromore Ogham Site (Ogham Site),POINT(-7.848889 52.064444)
Q85392810,Drumconwell (Ogham Site),POINT(-6.655278 54.307222)
Q85390417,Drummin (Ogham Site),POINT(-8.362222 53.84)
Q85391699,Dun Laoghaire (Ogham Site),POINT(-6.142222 53.293333)
Q85392833,Dunalis Upper (Ogham Site),POINT(-6.744444 55.116667)
Q85391719,Dunbell Big (Ogham Site),POINT(-7.172222 52.617778)
Q85393918,Dunbulloge (Ogham Site),POINT(-8.452778 51.980833)
Q85392823,Dungummin (Ogham Site),POINT(-7.209444 53.794444)
Q106628046,Dunmanway (Ogham Site),POINT(-9.112042 51.714579)
Q85395559,Emlagh East (Ogham Site),POINT(-10.228056 52.133056)
Q85395521,Emlagh West (Ogham Site),POINT(-10.270556 52.135278)
Q85394775,Ennis Ogham Site (Ogham Site),POINT(-8.9807 52.8463)
Q106628057,Farran (Ogham Site),POINT(-10.269408 52.139327)
Q85393998,Faunkill and the Woods / BallycrovaneFaunkill and the Woods (Ogham Site),POINT(-9.935278 51.712222)
Q85391658,Fiddaun Upper (Ogham Site),POINT(-7.036389 52.518889)
Q85394087,Fortwilliam (Ogham Site),POINT(-9.724167 52.362778)
Q85396851,Fox's Castle (Ogham Site),POINT(-7.495 52.155278)
Q69385525,Garranes (Ogham Site),POINT(-8.761667 51.816389)
Q85396944,Garranmillon (Ogham Site),POINT(-7.483333 52.191389)
Q106628051,Gearha South (Ogham Site),POINT(-9.765716 51.889059)
Q85395523,Glanfahan (Ogham Site),POINT(-10.437222 52.103333)
Q85395522,Glanmore (Ogham Site),POINT(-10.159444 52.186944)
Q106628068,Glashaboy South (Ogham Site),POINT(-8.538435 52.031405)
Q85394021,Glebe / Shanacloon (Ogham Site),POINT(-9.115 51.849444)
Q85394126,Glenaglogh North (Ogham Site),POINT(-8.866111 51.991111)
Q85393995,Glenawillin (Ogham Site),POINT(-8.175556 51.969444)
Q106628071,Glin North/South (Ogham Site),
Q85396933,Gortatlea (Ogham Site),POINT(-9.581944 52.226667)
Q85395607,Gortmaccaree (Ogham Site),POINT(-9.551667 51.8475)
Q85395524,Gortnagullanagh (Ogham Site),POINT(-10.126667 52.140833)
Q85394098,Gour (Ogham Site),POINT(-9.981667 51.628889)
Q85391704,Gowran (Ogham Site),POINT(-7.066111 52.6325)
Q85391660,Graiguenamanagh (Ogham Site),POINT(-6.958056 52.5425)
Q72006007,Greenhill (Ogham Site),POINT(-8.601944 52.081111)
Q106628037,Hacketstown (Ogham Site),POINT(-6.560318 52.862438)
Q85391680,Houseland / Hook POINT (Ogham Site),POINT(-6.887778 52.161389)
Q85390377,Inchagoill (Ogham Site),POINT(-9.316944 53.485556)
Q85395624,Inchinanagh (Ogham Site),POINT(-9.389167 51.839444)
Q85395526,Inishvickillane (Ogham Site),POINT(-10.607778 52.044444)
Q85390382,Island (Ogham Site),POINT(-8.805 53.781667)
Q85394084,Kealvaugh More (Ogham Site),POINT(-9.228056 51.828333)
Q106628069,Keelwest (Ogham Site),POINT(-10.180949 53.983608)
Q85393928,Keenrath (Ogham Site),POINT(-9.185833 51.759444)
Q85396852,Kilbeg (Ogham Site),POINT(-7.544722 52.110278)
Q85396894,Kilbonane (Ogham Site),POINT(-9.673611 52.086111)
Q85394111,Kilcaskan (Ogham Site),POINT(-9.711944 51.7275)
Q85395537,Kilcoolaght East / Kilhullicaha (Ogham Site),POINT(-9.747222 52.071944)
Q85394079,Kilcullen South (Ogham Site),POINT(-8.81 51.9875)
Q85391730,Kilcumney (Ogham Site),POINT(-6.956452 52.631753)
Q85395599,Kilfountan (Ogham Site),POINT(-10.300556 52.153333)
Q85395538,Kilgobnet (Ogham Site),POINT(-9.718889 52.068056)
Q85396854,Kilgrovan (Ogham Site),POINT(-7.549722 52.090556)
Q85395582,Kilkeehagh (Ogham Site),POINT(-10.029167 52.031111)
Q85391677,Killabeg (Ogham Site),POINT(-6.530278 52.543611)
Q106628052,Killeenleagh (Ogham Site),POINT(-10.058583 51.907671)
Q85395618,Killogrone (Ogham Site),POINT(-10.175833 51.913333)
Q106628060,Killorglin (Ogham Site),POINT(-9.785964 52.106292)
Q85396826,Killorglin Townland,POINT(-9.540833 52.233611)
Q85396936,Killorglin [neighbourhood of] (Ogham Site),POINT(-9.540833 52.233611)
Q85395551,Killurly (Ogham Site),POINT(-10.301944 51.843333)
Q85395528,Kilmalkedar (Ogham Site),POINT(-10.333056 52.188333)
Q72006009,Kilmannin (Ogham Site),POINT(-8.765556 53.773611)
Q85394014,Kilmartin Lower (Ogham Site),POINT(-8.789444 51.985556)
Q85396911,Kilmolash (Ogham Site),POINT(-7.804444 52.1025)
Q106628056,Kilquane (Ogham Site),POINT(-10.318342 52.209394)
Q85395530,Kinard East (Ogham Site),POINT(-10.194444 52.120556)
Q85391711,Knickeen (Ogham Site),POINT(-6.535 52.998056)
Q85396870,Knockalafalla (Ogham Site),POINT(-7.511667 52.326389)
Q85396914,Knockboy (Ogham Site),POINT(-7.6 52.111389)
Q106626874,Knockmahon (Ogham Site),POINT(-7.35056 52.14028)
Q85393940,Knockrour (Ogham Site),POINT(-8.838889 51.9575)
Q69383268,Knockshanawee (Ogham Site),POINT(-8.794722 51.868056)
Q106628044,Lackabane (Ogham Site),POINT(-8.741852 51.995245)
Q85391666,Lamoge (Ogham Site),POINT(-7.360833 52.443889)
Q85391706,Legan (Ogham Site),POINT(-7.158611 52.538611)
Q85395585,Letter Ogham Site (Ogham Site),POINT(-10.220833 51.923333)
Q85396891,Letter West (Ogham Site),POINT(-10.025278 52.013611)
Q106628067,Liscahane (Ogham Site),POINT(-9.046029 52.051362)
Q85395546,Lomanagh (Ogham Site),POINT(-9.413611 51.883333)
Q85395562,Lugnagappul (Ogham Site),POINT(-10.124722 52.135833)
Q85395541,Mangerton (Ogham Site),POINT(-9.875 51.858611)
Q85395622,Martramane (Ogham Site),POINT(-10.023333 52.251944)
Q85395564,Maumanorig (Ogham Site),POINT(-10.359444 52.144722)
Q85394081,Monataggart (Ogham Site),POINT(-8.779444 51.974444)
Q85394128,Mount Music / Knockoran (Ogham Site),POINT(-9.083889 51.926111)
Q85394114,Mountrivers (Ogham Site),POINT(-8.829444 51.970833)
Q85396939,Mountrussell (Ogham Site),POINT(-8.562778 52.328611)
Q85392831,Mullyknock or Topped Mountain (Ogham Site),POINT(-7.5175 54.362222)
Q85396941,Newcastle (Ogham Site),POINT(-8.105278 52.275833)
Q106628032,Nobber (Ogham Site),POINT(-6.597584 53.819089)
Q85396859,Old Island (Ogham Site),POINT(-7.59 52.160833)
Q85391671,Painestown / Saneschalstown (Ogham Site),POINT(-6.559167 53.673333)
Q85396972,Parkavonear (Ogham Site),POINT(-9.558333 52.077778)
Q85395605,Parknasilla (Ogham Site),POINT(-9.875 51.858611)
Q85391732,Portmarnock (Ogham Site),POINT(-6.1525 53.419722)
Q85396903,Priesttown (Ogham Site),POINT(-7.758056 52.221667)
Q85392813,Rantavan (Ogham Site),POINT(-6.954444 53.805)
Q106626875,Ratass (Ogham Site),POINT(-9.67583 52.2675)
Q85393934,Rathcanning (Ogham Site),POINT(-8.075556 51.977222)
Q85393922,Rathcobane (Ogham Site),POINT(-8.246111 52.005278)
Q85395627,Rathduff (Ogham Site),POINT(-10.024444 52.167778)
Q85391648,Rathglass (Ogham Site),POINT(-6.716667 52.781944)
Q106626866,Rathkenny (Ogham Site),POINT(-9.72028 52.33167)
Q106628055,Rathkieran (Ogham Site),POINT(-10.33164 51.847737)
Q85395567,Rathmalode / Loughor (Ogham Site),POINT(-9.990556 52.1725)
Q85393959,Reask (Ogham Site),POINT(-10.382222 52.166667)
Q106628061,Rockfield (Ogham Site),POINT(-9.636208 52.122848)
Q85396812,Rockfield / Laharan (Ogham Site),POINT(-9.631667 52.128889)
Q85394017,Rooves More (Ogham Site),POINT(-8.784167 51.886667)
Q85390384,Rusheens East (Ogham Site),POINT(-8.665278 53.896111)
Q85391722,Saltee Island Great (Ogham Site),POINT(-6.6177 52.1173)
Q106626876,Scattery Island (Ogham Site),POINT(-9.51861 52.61278)
Q85396840,Seemochuda (Ogham Site),POINT(-7.998889 52.199444)
Q106626901,Shankill (Ogham Site),POINT(-7.0275 52.69528)
Q85393912,Shantraud (Ogham Site),POINT(-8.447778 52.803333)
Q85392816,Station Island (Ogham Site),POINT(-7.871111 54.608611)
Q85396810,Teeromoyle (Ogham Site),POINT(-10.058889 51.970833)
Q85394006,Templebryan North (Ogham Site),POINT(-8.893056 51.645)
Q106628040,Thomastown (Ogham Site),POINT(-7.131313 52.526469)
Q85396900,Tinnahally (Ogham Site),POINT(-9.7575 52.124722)
Q85390711,Toberrory (Ogham Site),POINT(-8.297778 53.8075)
Q85396862,Tooracurragh (Ogham Site),POINT(-7.746944 52.267222)
Q106628041,Toureen (Ogham Site),POINT(-7.994842 52.407427)
Q85396830,Tralee Ogham Site (Ogham Site),POINT(-9.710278 52.268056)
Q85391650,Tuckamine (Ogham Site),POINT(-6.727222 52.848056)
Q85390409,Tullaghaun (Ogham Site),POINT(-8.709444 53.728611)
Q85391735,Tullaherin (Ogham Site),POINT(-7.121389 52.5775)
Q85394019,Tullig More (Ogham Site),POINT(-8.757222 51.946389)
Q85393909,Tullycommon (Ogham Site),POINT(-9.063611 53.022222)
Q85395539,Whitefield (Ogham Site),POINT(-9.703056 52.080556)
Q85396919,Windgap or Ardmore (Ogham Site),POINT(-7.487778 52.341944)
