item,label,desc,geo,logainm,osm
Q85391656,Churchclara (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.150556 52.651389),26739,4833040
Q85391658,Fiddaun Upper (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.036389 52.518889),27197,5357487
Q85391660,Graiguenamanagh (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-6.958056 52.5425),1411891,5349535
Q85391666,Lamoge (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.360833 52.443889),26343,5251020
Q85391668,Barnaveddoge (Ogham Site),"Ogham Site, Co. Louth",Point(-6.476667 53.845),33543,5398547
Q85391671,Painestown / Saneschalstown (Ogham Site),"Ogham Site, Co. Meath",Point(-6.559167 53.673333),38701,4640570
Q85391673,Castlekeeran (Ogham Site),"Ogham Site, Co. Meath",Point(-6.96 53.735833),38122,4633194
Q85391675,Cotts (Ogham Site),"Ogham Site, Co. Wexford",Point(-6.4275 52.215278),54430,3671216
Q85391677,Killabeg (Ogham Site),"Ogham Site, Co. Wexford",Point(-6.530278 52.543611),52714,2571707
Q85391680,Houseland / Hook Point (Ogham Site),"Ogham Site, Co. Wexford",Point(-6.887778 52.161389),,3389087
Q85391683,Baltinglass (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.624444 52.966389),54590,
Q85391685,Boleycarrigeen (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.608898 52.947012),54734,4521037
Q85391699,Dun Laoghaire (Ogham Site),"Ogham Site, Co. Dublin",Point(-6.142222 53.293333),17499,3661256
Q85391701,Ballyspellan (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.524444 52.76),27449,4759866
Q85391704,Gowran (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.066111 52.6325),1411890,5122565
Q85391706,Legan (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.158611 52.538611),27341,5234537
Q85391707,Balloughton (Ogham Site),"Ogham Site, Co. Wexford",Point(-6.720556 52.250556),53936,3431012
Q85391708,Castletimon (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.063611 52.909167),,4502014
Q85391710,Donard (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.617778 53.016944),54683,1016496
Q85391711,Knickeen (Ogham Site),"Ogham Site, Co. Wicklow",Point(-6.535 52.998056),,4461430
Q85391717,Clonmore (Ogham Site),"Ogham Site, Co. Carlow",Point(-6.573611 52.826389),3008,2249949
Q85391719,Dunbell Big (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.172222 52.617778),26789,4834616
Q85391722,Saltee Island Great (Ogham Site),"Ogham Site, Co. Wexford",Point(-6.6177 52.1173),54087,3519152
Q85391730,Kilcumney (Ogham Site),"Ogham Site, Co. Carlow",Point(-6.956452 52.631753),3151,2244326
Q85391732,Portmarnock (Ogham Site),"Ogham Site, Co. Dublin",Point(-6.1525 53.419722),1411866,5436853
Q85391735,Tullaherin (Ogham Site),"Ogham Site, Co. Kilkenny",Point(-7.121389 52.5775),27360,5371753
Q85391762,Colbinstown / Killeen Cormac (Ogham Site),"Ogham Site, Co. Kildare",Point(-6.756389 53.031111),,4780861
