"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"|"st_astext"
"46. Houseland (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391680"|"Q184599"|"SEDANI MAQI CATTABBOTT AVVI DERCMASOC"|"46. Houseland"|"POINT(-6.887778 52.161389)"
"47. Castletimon (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391708"|"Q182591"|"NETACARI NETACAGI"|"47. Castletimon"|"POINT(-6.063611 52.909167)"
"48. Donard (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391710"|"Q182591"|"IAQINI KOI/ MAQI MUCOI"|"48. Donard"|"POINT(-6.617778 53.016944)"
"49. Baltinglass (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391683"|"Q182591"|"CCI MAQ INI"|"49. Baltinglass"|"POINT(-6.624444 52.966389)"
"50. Boleycarrigeen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391685"|"Q182591"|"VOTI"|"50. Boleycarrigeen"|"POINT(-6.608898 52.947012)"
"51. Knickeen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391711"|"Q182591"|"MAQI NILI"|"51. Knickeen"|"POINT(-6.535 52.998056)"
"57. Greenhill I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q72006007"|"Q162475"|"TRENU MAQI MUCOI QRITTI"|"57. Greenhill I"|"POINT(-8.601944 52.081111)"
"58. Greenhill II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q72006007"|"Q162475"|"CATTUBUTTAS MAQI"|"58. Greenhill II"|"POINT(-8.601944 52.081111)"
"66. Faunkill and the Woods (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393998"|"Q162475"|"MAQI-DECCEDDAS AVI TURANIAS"|"66. Faunkill and the Woods"|"POINT(-9.935278 51.712222)"
"69. Ahalisky I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394002"|"Q162475"|"GIRAGNI"|"69. Ahalisky I"|"POINT(-8.846944 51.678889)"
"70. Ahalisky II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394002"|"Q162475"|"CUNAGUSOS MAQI MUCOI VIRA/GNI"|"70. Ahalisky II"|"POINT(-8.846944 51.678889)"
"71. Ahalisky III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394002"|"Q162475"|"COIMAGNI MAQI MOCOI G"|"71. Ahalisky III"|"POINT(-8.846944 51.678889)"
"79. Rathcanning I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393934"|"Q162475"|"TULENA MUC RAN"|"79. Rathcanning I"|"POINT(-8.075556 51.977222)"
"80. Rathcanning II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393934"|"Q162475"|"?M?"|"80. Rathcanning II"|"POINT(-8.075556 51.977222)"
"97. Ballyhank I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"LL MAQI VORR/TIGUR/N"|"97. Ballyhank I"|"POINT(-8.608333 51.838611)"
"98. Ballyhank II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"CORBAGNI/ KOI MAQI MOC/COI COROTANI"|"98. Ballyhank II"|"POINT(-8.608333 51.838611)"
"99. Ballyhank III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"SACATTI/NI"|"99. Ballyhank III"|"POINT(-8.608333 51.838611)"
"Ardfert II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394024"|"Q184469"|"OC/GIC"|"Ardfert II"|"POINT(-9.772778 52.328889)"
"Ballybarrack.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626868"|"Q183539"|"MAQI-CORABIR MAQI TANB NETA-SALAGIA MAQI MUCOI"|"Ballybarrack"|"POINT(-6.43833 53.98278)"
"Bunkilla.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626869"|"Q162475"|"ANM MAQQI-LASIRE MAQQI BIRRAC...?"|"Bunkilla"|"POINT(-8.69389 51.97722)"
"Church Island (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626870"|"Q184469"|"BECCDINN MACI/ R/ITTECC"|"Church Island"|"POINT(-10.2832 51.9376)"
"Churchclara II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391656"|"Q180231"|"GELAGNI AVI"|"Churchclara II"|"POINT(-7.150556 52.651389)"
"Cloghabrody.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626871"|"Q180231"|"VEDDELLEMETTO MU/CI/ LOGIDDEAS/ AVVI MUNICCONA"|"Cloghabrody"|"POINT(-7.13778 52.53472)"
"Coumlanders.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626872"|"Q184469"|"RETAGIN MAQI DOVU"|"Coumlanders"|"POINT(-10.175484 52.125339)"
"Drummin II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390417"|"Q179437"|"RAVASA KOI MAQQI D/TL SENN"|"Drummin II"|"POINT(-8.362222 53.84)"
"Kilgrovan VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396854"|"Q184594"|"...U MAQI CUMUGODU/U MUCO"|"Kilgrovan VI"|"POINT(-7.549722 52.090556)"
"Kilgrovan VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396854"|"Q184594"|"UMU T"|"Kilgrovan VII"|"POINT(-7.549722 52.090556)"
"Knockmahon I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626874"|"Q184594"|"SENAQ MAQI/ MUCOI ENA"|"Knockmahon I"|"POINT(-7.35056 52.14028)"
"Knockmahon II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626874"|"Q184594"|"VEDILIMETO/ MAQI/ TOQITAQ"|"Knockmahon II"|"POINT(-7.35056 52.14028)"
"Ratass.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626875"|"Q184469"|"ANM SILLANN MAQ VATTILLOGG"|"Ratass"|"POINT(-9.67583 52.2675)"
"Rathkenny IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626866"|"Q184469"|"V A S"|"Rathkenny IV"|"POINT(-9.72028 52.33167)"
"Scattery Island (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626876"|"Q181862"|"NS"|"Scattery Island"|"POINT(-9.51861 52.61278)"
"Shankill.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626901"|"Q180231"|"MAQICUNALIGEAS/ MAQI COILLI/ MUCOI COSCI/EAS"|"Shankill"|"POINT(-7.0275 52.69528)"
"Tullaherin II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391735"|"Q180231"|"DT MUCOI RGN"|"Tullaherin II"|"POINT(-7.121389 52.5775)"
