item,itemLabel,itemDescription,no
Q106675422,COHIL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COHIL/1
Q106675423,COLIN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COLIN/1
Q106675424,COLIN/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COLIN/2
Q106675425,COLIN/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COLIN/3
Q106675426,COLIN/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COLIN/4
Q106675427,COLIN/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COLIN/5
Q106675428,COLIN/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COLIN/6
Q106675429,COLIN/7 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COLIN/7
Q106675430,COOGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOGH/1
Q106675431,COOGH/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOGH/2
Q106675432,COOLE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLE/1
Q106675433,COOLE/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLE/2
Q106675435,COOLH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLH/1
Q106675436,COOLM/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLM/1
Q106675437,COOLM/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLM/2
Q106675438,COOLM/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLM/3
Q106675439,COOLM/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLM/4
Q106675440,COOLM/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLM/5
Q106675441,COOLM/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COOLM/6
