"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"
"181. Emlagh West (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395521"|"Q184469"|"TALAGNI MAQI"|"181. Emlagh West"
"185. Inishvickillane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395526"|"Q184469"|"CO?BBA? AVI VLATIAMI MAQ..."|"185. Inishvickillane"
"186. Kilfountain (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395599"|"Q184469"|"EQODDI"|"186. Kilfountain"
"187. Kilmalkedar (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395528"|"Q184469"|"ANM MAILE-INBIR/ MACI BROCANN"|"187. Kilmalkedar"
"188. Kinard East I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395530"|"Q184469"|"MARIANI"|"188. Kinard East I"
"189. Kinard East II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395530"|"Q184469"|"SANGTI LLOTETI AVI SRUSA"|"189. Kinard East II"
"19. Colbinstown I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"OVANOS AVI I/VACA/TTOS"|"19. Colbinstown I"
"190. Lugnagappul I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395562"|"Q184469"|"GOSSUCTTIAS"|"190. Lugnagappul I"
"191. Lugnagappul II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395562"|"Q184469"|"GAMICUNAS"|"191. Lugnagappul II"
"192. Martramane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395622"|"Q184469"|"QENILOCAGNI MAQI D..."|"192. Martramane"
"193. Maumanorig (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395564"|"Q184469"|"ANM COL(OLTH)MAN ALITHIR"|"193. Maumanorig"
"195. Rathmalode I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395567"|"Q184469"|"CURCI MAQI MUCOI VO"|"195. Rathmalode I"
"196. Rathmalode II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395567"|"Q184469"|"ERCAVICCAS MAQI CO"|"196. Rathmalode II"
"197. Coolmagort I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"DEGO{S} MAQI MOCOI TOICAKI"|"197. Coolmagort I"
"198. Coolmagort II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MAQI-RITEAS MAQI MAQI-DDUMILEAS/ MUCOI TOICACI"|"198. Coolmagort II"
"199. Coolmagort III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"CUNACENA"|"199. Coolmagort III"
"20. Colbinstown II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"MAQI-DDECCEDA MAQI MARIN"|"20. Colbinstown II"
"200. Coolmagort IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MAQI-TTAL MAQI VORGOS MA/QI MU/COI TOICAC"|"200. Coolmagort IV"
"201. Coolmagort V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MC GE?/ MAQ D/E?"|"201. Coolmagort V"
"202. Coolmagort VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"NIOTTVRECC MAQI/ GNI"|"202. Coolmagort VI"
"203. Coolmagort VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MAQI-DECEDA MAQI"|"203. Coolmagort VII"
"205. Derrygariff (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395535"|"Q184469"|"SBNAG MAQQI-RCIA"|"205. Derrygariff"
"206. Kilcoolaght East I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"[AN]M VIRRACC/ANNI TIGIR[N] C/TEDATTOQA MAQI/ VEDELMETTO"|"206. Kilcoolaght East I"
"207. Kilcoolaght East II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"ECC MAQI LUGUQRRIT"|"207. Kilcoolaght East II"
"208. Kilcoolaght East III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"UMALL"|"208. Kilcoolaght East III"
"209. Kilcoolaght East IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"AGGO MAQI AGILL"|"209. Kilcoolaght East IV"
"210. Kilcoolaght East V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"DUBEB Q/N"|"210. Kilcoolaght East V"
"211. Kilcoolaght East VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"[RI]TTAVVECC MAQI VEDDONOS"|"211. Kilcoolaght East VI"
"212. Kilcoolaght East VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"L M"|"212. Kilcoolaght East VII"
"213. Kilcoolaght East VIII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"URG"|"213. Kilcoolaght East VIII"
"215. Whitefield I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"ALATTO CELI BAT/TIG/NI"|"215. Whitefield I"
"216. Whitefield II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"GOSOCTEAS MOSAC MAKINI"|"216. Whitefield II"
"217. Whitefield III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"NOCATI MAQI MAQI-RET/ MAQI MUCOI UDDAMI"|"217. Whitefield III"
"218. Whitefield IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"LAGOBB/ MUCO TUCACAC"|"218. Whitefield IV"
"22. Colbinstown IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"EGNI KOI MAQI MUC/OI AI"|"22. Colbinstown IV"
"220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395573"|"Q184469"|"ANM LLATIGNI MAQ MINERC/ MUCOI QCI?"|"220. Derrynane"
"223. Parknasilla (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395605"|"Q184469"|"ANM VINNAGITLET"|"223. Parknasilla"
"23. Colbinstown V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"AVSSMAQVS"|"23. Colbinstown V"
"230. Cloghanecarhan (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395549"|"Q184469"|"EQQEGGNI MAQI MAQI-CARATTINN"|"230. Cloghanecarhan"
"241. Kilbonane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396894"|"Q184469"|"BAIDAGNI MAQI ADDILONA NAGUNI MUCO BAIDANI NIR[???]MNIDAGNIESSICONIDDALA/ AMIT BAIDAGNI"|"241. Kilbonane"
"242. Parkavonear (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396972"|"Q184469"|"BRRUA/ENANN"|"242. Parkavonear"
"246a. Ardcanaght I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396815"|"Q184469"|"V MAQI"|"246a. Ardcanaght I"
"246b. Ardcanaght II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396815"|"Q184469"|"LMCBLTCL/LT"|"246b. Ardcanaght II"
"25. Colbinstown VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"LA"|"25. Colbinstown VII"
"252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396933"|"Q184469"|"DUMELI MAQI GLASICONAS NIOTTA COBRANORA"|"252. Gurrane"
"253. Killorglin (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396826"|"Q184469"|"GALEOTOS"|"253. Killorglin"
"255. Tinnahally I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396900"|"Q184469"|"CILA MAQQI BAGN/I ANM VURUDDRANN MAQ/I DO/LIGENN"|"255. Tinnahally I"
"256. Tinnahally II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396900"|"Q184469"|"ANM TEGANN MAC DEGL/ANN"|"256. Tinnahally II"
"26. Donaghmore (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391654"|"Q173332"|"NETTAVROICC/ MAQI MUCCOI TRENALUGGO"|"26. Donaghmore"
"263. Ardmore I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396905"|"Q184594"|"LUGUDECCAS MAQI/MU/COI NETA-SEGAMONAS/ DOLATI BIGAISGOB..."|"263. Ardmore I"
"264. Ardmore II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396905"|"Q184594"|"...NACI MAQI ..."|"264. Ardmore II"
"265. Ardmore III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396905"|"Q184594"|"AMADU"|"265. Ardmore III"
"266. Dromore I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396907"|"Q184594"|"COLLABOT MUCOI LUGA/ MAQI LOBACCONA"|"266. Dromore I"
"267. Dromore II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396907"|"Q184594"|"MEDUSI MACI LU/ MUCOI LUGA"|"267. Dromore II"
"268. Dromore III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396907"|"Q184594"|"CATTUVIR"|"268. Dromore III"
"272. Drumlohan I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"MANU MAGUNO GATI MOCOI MACORBO"|"272. Drumlohan I"
"273. Drumlohan II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"CALUNOVICA MAQI MUCOI LITENI"|"273. Drumlohan II"
"274. Drumlohan III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"MAQI-INI MAQI QETTEAS"|"274. Drumlohan III"
"275. Drumlohan IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI"|"275. Drumlohan IV"
"276. Drumlohan V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"BIGU MAQI LAG"|"276. Drumlohan V"
"277. Drumlohan VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"BIR MAQI MUCOI ROTTAIS"|"277. Drumlohan VI"
"278. Drumlohan VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"MAQI NETAS"|"278. Drumlohan VII"
"279. Drumlohan VIII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396849"|"Q184594"|"DENAVECA MUCOI MEDALO"|"279. Drumlohan VIII"
"28. Churchclara I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391656"|"Q180231"|"TASEGAGNI/ MAQ/ I MUCOI MACORBO"|"28. Churchclara I"
