"id_stone","id_site"
30000129,40000138
20000219,40000138
20000222,40000139
10000001,40000139
20000221,40000140
10000144,40000140
20000223,40000141
30000045,40000141
10000096,40000141
10000229,40000142
20000224,40000142
20000265,40000143
10000040,40000143
20000225,40000144
20000226,40000145
10000296,40000145
30000110,40000146
10000213,40000146
20000233,40000146
30000083,40000147
10000161,40000147
20000234,40000147
10000289,40000148
20000235,40000148
10000128,40000149
20000239,40000149
20000237,40000149
30000069,40000149
10000121,40000149
30000070,40000149
10000122,40000149
20000243,40000149
30000071,40000149
30000067,40000149
30000072,40000149
30000066,40000149
10000124,40000149
10000127,40000149
20000236,40000149
10000129,40000149
10000123,40000149
20000238,40000149
20000242,40000149
30000068,40000149
20000240,40000149
30000073,40000149
10000126,40000149
20000241,40000149
10000011,40000150
20000230,40000150
20000244,40000151
10000046,40000151
30000046,40000152
10000097,40000152
20000227,40000152
20000246,40000153
20000245,40000153
10000130,40000153
20000247,40000153
10000214,40000154
20000249,40000154
10000215,40000154
10000216,40000154
20000250,40000154
20000254,40000154
20000252,40000154
30000154,40000154
20000251,40000154
30000155,40000154
10000217,40000154
10000219,40000154
20000253,40000154
20000255,40000155
10000153,40000155
10000264,40000156
20000228,40000156
20000256,40000157
10000154,40000158
20000248,40000158
10000177,40000159
20000260,40000159
20000259,40000159
30000089,40000159
20000261,40000159
10000178,40000160
20000264,40000161
10000156,40000161
20000263,40000161
10000155,40000161
30000047,40000162
10000098,40000162
20000267,40000162
30000127,40000163
10000258,40000163
20000229,40000163
10000012,40000164
20000266,40000164
20000258,40000165
10000220,40000165
20000262,40000166
10000099,40000167
30000048,40000167
10000100,40000167
20000231,40000167
20000232,40000167
30000049,40000167
30000134,40000168
10000271,40000168
20000276,40000168
20000277,40000169
10000237,40000169
20000268,40000170
10000226,40000170
30000117,40000170
30000114,40000170
10000228,40000170
30000113,40000170
20000269,40000170
10000221,40000170
30000118,40000170
20000272,40000170
10000222,40000170
10000224,40000170
30000112,40000170
20000275,40000170
20000271,40000170
30000111,40000170
10000225,40000170
30000116,40000170
20000274,40000170
10000227,40000170
10000223,40000170
30000115,40000170
20000270,40000170
20000273,40000170
30000156,40000171
30000157,40000171
20000278,40000171
20000279,40000172
10000015,40000172
10000014,40000172
20000280,40000172
20000285,40000173
20000284,40000173
10000020,40000173
10000021,40000173
20000283,40000173
10000018,40000173
20000281,40000173
10000017,40000173
10000019,40000173
20000286,40000173
10000016,40000173
20000282,40000173
20000287,40000174
10000255,40000175
30000124,40000175
20000288,40000175
30000125,40000175
20000289,40000175
10000254,40000175
30000122,40000176
20000290,40000176
10000252,40000176
20000291,40000177
10000157,40000177
10000158,40000178
20000292,40000178
20000293,40000179
20000294,40000179
10000145,40000180
20000295,40000180
20000297,40000181
30000051,40000181
30000052,40000181
10000103,40000181
10000102,40000181
20000296,40000181
10000140,40000182
20000298,40000182
20000307,40000183
10000104,40000183
30000053,40000183
30000054,40000184
20000299,40000184
10000105,40000184
10000023,40000185
20000303,40000185
10000022,40000185
30000011,40000185
20000305,40000185
30000008,40000185
20000306,40000185
10000026,40000185
30000009,40000185
20000304,40000185
10000025,40000185
20000308,40000186
10000041,40000186
20000300,40000187
10000027,40000187
10000028,40000187
20000301,40000187
10000184,40000188
20000302,40000188
20000356,40000189
10000247,40000189
20000309,40000190
10000186,40000190
20000310,40000191
20000311,40000191
20000312,40000191
30000119,40000192
10000231,40000192
20000313,40000192
20000314,40000193
30000128,40000193
10000259,40000193
10000163,40000194
30000084,40000194
20000315,40000194
20000316,40000194
10000162,40000194
10000141,40000195
30000080,40000195
20000319,40000195
10000090,40000196
20000317,40000196
20000318,40000197
10000187,40000197
20000321,40000198
10000244,40000198
30000158,40000199
20000322,40000199
20000337,40000200
10000302,40000200
10000300,40000200
30000141,40000200
30000142,40000200
20000336,40000200
20000320,40000201
10000286,40000201
10000107,40000202
20000338,40000202
10000106,40000202
20000339,40000202
10000068,40000203
20000332,40000203
30000030,40000203
30000006,40000204
20000342,40000204
30000005,40000204
20000340,40000204
30000159,40000204
20000341,40000204
20000323,40000205
20000344,40000206
10000109,40000206
30000055,40000206
10000108,40000206
20000343,40000206
30000056,40000206
20000074,40000207
10000053,40000207
30000017,40000207
20000329,40000208
10000164,40000208
10000167,40000208
20000328,40000208
10000165,40000208
20000327,40000208
20000331,40000208
10000166,40000208
20000330,40000208
20000326,40000208
20000333,40000209
10000031,40000209
10000030,40000209
20000334,40000209
20000335,40000209
10000029,40000209
20000345,40000210
10000269,40000210
20000215,40000211
10000262,40000211
30000160,40000212
10000188,40000213
20000346,40000213
30000161,40000214
20000347,40000214
10000274,40000215
20000257,40000215
10000246,40000216
20000348,40000216
20000350,40000217
10000160,40000217
20000349,40000218
10000297,40000218
20000351,40000219
30000091,40000220
30000090,40000220
20000352,40000220
10000179,40000220
10000180,40000220
20000353,40000220
30000010,40000221
30000012,40000221
20000324,40000221
20000325,40000221
10000035,40000221
10000024,40000221
10000232,40000222
20000357,40000222
20000358,40000223
20000359,40000224
10000181,40000224
30000036,40000225
10000079,40000225
20000355,40000225
20000361,40000226
10000280,40000226
10000253,40000227
30000123,40000227
20000360,40000227
30000162,40000227
10000032,40000228
20000354,40000228
10000272,40000229
20000363,40000230
30000076,40000230
20000364,40000230
10000131,40000230
10000134,40000230
30000074,40000230
10000132,40000230
30000075,40000230
30000077,40000230
20000365,40000230
20000362,40000230
10000133,40000230
10000135,40000230
20000366,40000230
20000368,40000231
10000238,40000231
10000239,40000231
20000367,40000231
